t,TWA,AWA,u,v,r,phi,p,delta,deltaMax,alpha,CL,CD,amaLoad,brailLee,brailWind,crewPos,crewPosX,shuntPhase
0.47083,90.63772,75.41380,1.56606,-0.23814,-0.04306,0.93424,2.59250,42.37500,60.00000,146.96120,1.11460,0.39826,0.07785,0.00000,0.00000,0.20000,0.00000,none
0.47500,90.64799,75.37833,1.57128,-0.23682,-0.04295,0.94498,2.56459,42.75000,60.00000,147.37167,1.10330,0.38880,0.07875,0.00000,0.00000,0.20000,0.00000,none
0.47917,90.65823,75.34339,1.57645,-0.23549,-0.04282,0.95561,2.53554,43.12500,60.00000,147.78161,1.09201,0.37953,0.07963,0.00000,0.00000,0.20000,0.00000,none
0.48333,90.66843,75.30898,1.58157,-0.23413,-0.04269,0.96611,2.50538,43.50000,60.00000,148.19102,1.08032,0.37024,0.08051,0.00000,0.00000,0.20000,0.00000,none
0.48750,90.67861,75.27512,1.58664,-0.23274,-0.04254,0.97648,2.47409,43.87500,60.00000,148.59988,1.06817,0.36092,0.08137,0.00000,0.00000,0.20000,0.00000,none
0.49167,90.68874,75.24182,1.59165,-0.23133,-0.04238,0.98673,2.44167,44.25000,60.00000,149.00818,1.05604,0.35179,0.08223,0.00000,0.00000,0.20000,0.00000,none
0.49583,90.69884,75.20910,1.59661,-0.22990,-0.04221,0.99683,2.40813,44.62500,60.00000,149.41590,1.04392,0.34284,0.08307,0.00000,0.00000,0.20000,0.00000,none
0.50000,90.70890,75.17698,1.60150,-0.22844,-0.04204,1.00679,2.37350,45.00000,60.00000,149.82302,1.03183,0.33408,0.08390,0.00000,0.00000,0.20000,0.00000,none
0.50417,90.71891,75.14546,1.60634,-0.22697,-0.04185,1.01661,2.33780,45.37500,60.00000,150.22954,1.01931,0.32531,0.08472,0.00000,0.00000,0.20000,0.00000,none
0.50833,90.72888,75.11455,1.61111,-0.22547,-0.04165,1.02627,2.30100,45.75000,60.00000,150.63545,1.00648,0.31658,0.08552,0.00000,0.00000,0.20000,0.00000,none
0.51250,90.73880,75.08427,1.61582,-0.22396,-0.04144,1.03578,2.26312,46.12500,60.00000,151.04073,0.99366,0.30804,0.08631,0.00000,0.00000,0.20000,0.00000,none
0.51667,90.74867,75.05461,1.62046,-0.22242,-0.04122,1.04513,2.22418,46.50000,60.00000,151.44539,0.98087,0.29969,0.08709,0.00000,0.00000,0.20000,0.00000,none
0.52083,90.75848,75.02556,1.62503,-0.22087,-0.04100,1.05431,2.18419,46.87500,60.00000,151.84944,0.96809,0.29152,0.08786,0.00000,0.00000,0.20000,0.00000,none
0.52500,90.76824,74.99713,1.62955,-0.21930,-0.04077,1.06333,2.14317,47.25000,60.00000,152.25287,0.95493,0.28336,0.08861,0.00000,0.00000,0.20000,0.00000,none
0.52917,90.77794,74.96931,1.63399,-0.21772,-0.04052,1.07217,2.10112,47.62500,60.00000,152.65569,0.94153,0.27528,0.08935,0.00000,0.00000,0.20000,0.00000,none
0.53333,90.78759,74.94213,1.63837,-0.21611,-0.04027,1.08083,2.05805,48.00000,60.00000,153.05787,0.92816,0.26739,0.09007,0.00000,0.00000,0.20000,0.00000,none
0.53750,90.79717,74.91557,1.64268,-0.21450,-0.04002,1.08932,2.01396,48.37500,60.00000,153.45943,0.91481,0.25968,0.09078,0.00000,0.00000,0.20000,0.00000,none
0.54167,90.80670,74.88964,1.64692,-0.21287,-0.03975,1.09762,1.96889,48.75000,60.00000,153.86036,0.90148,0.25215,0.09147,0.00000,0.00000,0.20000,0.00000,none
0.54583,90.81615,74.86432,1.65110,-0.21122,-0.03948,1.10572,1.92285,49.12500,60.00000,154.26068,0.88781,0.24467,0.09214,0.00000,0.00000,0.20000,0.00000,none
0.55000,90.82554,74.83963,1.65521,-0.20957,-0.03920,1.11364,1.87584,49.50000,60.00000,154.66037,0.87397,0.23729,0.09280,0.00000,0.00000,0.20000,0.00000,none
0.55417,90.83487,74.81557,1.65924,-0.20790,-0.03892,1.12135,1.82787,49.87500,60.00000,155.05943,0.86016,0.23009,0.09345,0.00000,0.00000,0.20000,0.00000,none
0.55833,90.84413,74.79214,1.66321,-0.20622,-0.03862,1.12887,1.77895,50.25000,60.00000,155.45786,0.84637,0.22306,0.09407,0.00000,0.00000,0.20000,0.00000,none
0.56250,90.85331,74.76934,1.66710,-0.20453,-0.03833,1.13618,1.72912,50.62500,60.00000,155.85566,0.83260,0.21621,0.09468,0.00000,0.00000,0.20000,0.00000,none
0.56667,90.86243,74.74715,1.67092,-0.20283,-0.03803,1.14327,1.67838,51.00000,60.00000,156.25285,0.81859,0.20945,0.09527,0.00000,0.00000,0.20000,0.00000,none
0.57083,90.87147,74.72560,1.67468,-0.20112,-0.03772,1.15016,1.62675,51.37500,60.00000,156.64940,0.80446,0.20280,0.09585,0.00000,0.00000,0.20000,0.00000,none
0.57500,90.88043,74.70467,1.67836,-0.19940,-0.03741,1.15683,1.57423,51.75000,60.00000,157.04533,0.79035,0.19632,0.09640,0.00000,0.00000,0.20000,0.00000,none
0.57917,90.88933,74.68438,1.68197,-0.19767,-0.03709,1.16328,1.52084,52.12500,60.00000,157.44062,0.77627,0.19002,0.09694,0.00000,0.00000,0.20000,0.00000,none
0.58333,90.89814,74.66471,1.68550,-0.19594,-0.03677,1.16950,1.46661,52.50000,60.00000,157.83529,0.76220,0.18388,0.09746,0.00000,0.00000,0.20000,0.00000,none
